,name,qid,measure,value
44,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",264014,map,0.14215158585756457
45,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",264014,recip_rank,1.0
46,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",264014,ndcg_cut_10,0.22087897346477176
47,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",264014,ndcg_cut_30,0.32036034561021304
48,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1121402,map,0.247777472395658
49,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1121402,recip_rank,0.25
50,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1121402,ndcg_cut_10,0.19799633048709528
51,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1121402,ndcg_cut_30,0.3253621035856514
52,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",962179,map,0.03344464352705807
53,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",962179,recip_rank,0.25
54,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",962179,ndcg_cut_10,0.03159612145651692
55,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",962179,ndcg_cut_30,0.019195314431548555
56,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1117099,map,0.04559883228752207
57,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1117099,recip_rank,1.0
58,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1117099,ndcg_cut_10,0.07336392209936005
59,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",1117099,ndcg_cut_30,0.07013568507464188
60,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",148538,map,0.09437998567274405
61,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",148538,recip_rank,0.14285714285714285
62,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",148538,ndcg_cut_10,0.06053324113728674
63,"Compose(Compose(RankCutoff(BR(BM25), 1000), FUnion(None(), FUnion(BR(TF_IDF), FUnion(BR(PL2), FUnion(BR(Dl), BR(DirichletLM)))))), <pyterrier.ltr.RegressionTransformer object at 0x16d60ce80>)",148538,ndcg_cut_30,0.05621692393532771
